Station,Date,AQI,PM2.5
Laru,2024/12/17 12:38,N/A,176.42
Laru,2024/12/17 12:38,N/A,133.25
Laru,2024/12/17 12:38,N/A,183.06
Laru,2024/12/17 12:38,N/A,135.74
Laru,2024/12/17 12:38,N/A,175.59
Laru,2024/12/17 12:38,N/A,143.21
Laru,2024/12/17 12:38,N/A,168.95
Laru,2024/12/17 12:38,N/A,154.83
Laru,2024/12/17 12:38,N/A,149.85
Laru,2024/12/17 12:38,N/A,175.59
Laru,2024/12/17 12:38,N/A,134.91
Laru,2024/12/17 12:38,N/A,182.23
Laru,2024/12/17 12:38,N/A,131.59
Laru,2024/12/17 12:38,N/A,182.23
Laru,2024/12/17 12:38,N/A,134.08
Laru,2024/12/17 14:31,N/A,139.06
Laru,2024/12/17 14:31,N/A,162.30
Laru,2024/12/17 14:31,N/A,139.06
Laru,2024/12/17 14:31,N/A,215.43
Laru,2024/12/17 14:31,N/A,212.94
Laru,2024/12/17 14:31,N/A,217.92
Laru,2024/12/17 14:31,N/A,170.61
Laru,2024/12/17 14:31,N/A,212.94
Laru,2024/12/17 14:31,N/A,158.15
Laru,2024/12/17 14:31,N/A,198.83
Laru,2024/12/17 14:31,N/A,155.66
Laru,2024/12/17 14:31,N/A,187.21
Laru,2024/12/17 14:31,N/A,155.66
